brkQ,method,projtol,zeroQ,starttime,nmeshpts,ndatapts,ncores,gitcommit,uuid,predinput,queryinput,projQ,runtime,PredictMethod,genseed,errmetrics,rmse,mae,parity
1,gpr,0.0001,0,10-Oct-2020 22:41:13,1000,500,6,1792c6c,8c334c85,5dof,5dof,0,0.9377724,fic,1088578273,,0.0802985665797879,0.0537896529019489,
1,gpr,0.0001,0,10-Oct-2020 22:18:13,1000,500,6,1792c6c,26cd80b0,5dof,5dof,0,1.0034964,fic,1088440308,,0.0722122675672626,0.051136586071418,
1,gpr,0.0001,0,10-Oct-2020 22:09:55,1000,500,6,1792c6c,15adfe3f,5dof,5dof,0,1.1230532,fic,1088389426,,0.0752179497674024,0.0526562271050597,
1,gpr,0.0001,0,10-Oct-2020 22:43:56,1000,500,6,1792c6c,fa71676d,5dof,5dof,0,0.9198863,fic,1088594563,,0.0773796675500854,0.0517364756969725,
1,gpr,0.0001,0,10-Oct-2020 22:31:03,1000,500,6,1792c6c,1cd691ab,5dof,5dof,0,0.987708,fic,1088517264,,0.0733737579853558,0.0516264159773895,
1,gpr,0.0001,0,10-Oct-2020 22:52:47,1000,500,6,1792c6c,0809b559,5dof,5dof,0,1.0440877,fic,1088647669,,0.0719479352105156,0.0516662012037559,
1,gpr,0.0001,0,10-Oct-2020 22:50:55,1000,500,6,1792c6c,301bd6ce,5dof,5dof,0,1.0681179,fic,1088636467,,0.0780218021402801,0.0523412170157744,
1,gpr,0.0001,0,10-Oct-2020 22:39:39,1000,500,6,1792c6c,2f6d70ed,5dof,5dof,0,0.9052778,fic,1088568918,,0.0735863213736345,0.0505039993598223,
1,gpr,0.0001,0,10-Oct-2020 22:52:33,1000,500,6,1792c6c,b5c0ca97,5dof,5dof,0,0.9669943,fic,1088646223,,0.0788227931536517,0.0528806455472582,
1,gpr,0.0001,0,10-Oct-2020 22:31:17,1000,500,6,1792c6c,45d4db75,5dof,5dof,0,0.8634901,fic,1088518694,,0.0755172309148547,0.0512798096467662,
1,gpr,0.0001,0,15-Oct-2020 02:12:29,1000,10000,6,7983748,18e9ede6,5dof,5dof,0,1.0235526,exact,1124404445,,0.0713493219712381,0.0499796030923182,
1,sphgpr,0.0001,0,10-Oct-2020 22:10:10,1000,500,6,1792c6c,adaade7b,5dof,5dof,0,64.3158293,fic,1088391898,,0.0708326105692229,0.0487792856499479,
1,sphgpr,0.0001,0,10-Oct-2020 22:38:28,1000,500,6,1792c6c,5d177462,5dof,5dof,0,58.3496408,fic,1088561748,,0.0773917395242329,0.0529681441869216,
1,sphgpr,0.0001,0,10-Oct-2020 22:24:32,1000,500,6,1792c6c,5606f2bb,5dof,5dof,0,54.8889661,fic,1088478150,,0.0744099049614365,0.0527236476615152,
1,sphgpr,0.0001,0,10-Oct-2020 22:27:00,1000,500,6,1792c6c,1cdcab5a,5dof,5dof,0,62.7534267,fic,1088492976,,0.0796351976794149,0.0535201594128974,
1,sphgpr,0.0001,0,10-Oct-2020 22:14:14,1000,500,6,1792c6c,44296b4d,5dof,5dof,0,59.0556447,fic,1088416359,,0.0779071705096306,0.0532805354097602,
1,sphgpr,0.0001,0,10-Oct-2020 22:45:28,1000,500,6,1792c6c,b46a7ab2,5dof,5dof,0,54.7353258,fic,1088603747,,0.0742360595041422,0.051771973982639,
1,sphgpr,0.0001,0,10-Oct-2020 22:15:26,1000,500,6,1792c6c,7aeb22db,5dof,5dof,0,58.8301939,fic,1088423595,,0.0735763972335955,0.0502570840712801,
1,sphgpr,0.0001,0,10-Oct-2020 22:29:53,1000,500,6,1792c6c,77d2f716,5dof,5dof,0,56.0407061,fic,1088510338,,0.0747540335500243,0.0508799228736444,
1,sphgpr,0.0001,0,10-Oct-2020 22:17:04,1000,500,6,1792c6c,76fdc02f,5dof,5dof,0,56.2524177,fic,1088433364,,0.076896212378065,0.0532580496947282,
1,sphgpr,0.0001,0,10-Oct-2020 22:22:42,1000,500,6,1792c6c,717a1b07,5dof,5dof,0,58.1539291,fic,1088467184,,0.0738570030010708,0.0511479290870814,
