datatype,sigma,method,projtol,zeroQ,starttime,ninputpts,npredpts,ncores,gitcommit,uuid,predinput,queryinput,projQ,oref_1,oref_2,oref_3,oref_4,oref_5,oref_6,oref_7,oref_8,oref2_1,oref2_2,oref2_3,oref2_4,oref2_5,oref2_6,oref2_7,oref2_8,nnmu,nnsigma,symruntime,runtime,parity,genseed,errmetrics,rmse,mae,Beta,KernelType,L,PredictMethod,int_fraction,nints,numnonints,r,KernelParameterNames,KernelParameters_1,KernelParameters_2
kim,0,avg,0.0001,0,12-Dec-2020 20:32:19,3786,946,6,886b2c5,d7f97277,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,3.56978324249012,2.18490941309456,8.4791328,0.0008931,,10,,0.132972384281877,0.0874387954168523,NaN,<undefined>,NaN,<undefined>,NaN,NaN,NaN,NaN,,,
kim,0,avg,0.0001,0,12-Dec-2020 20:37:35,3786,946,6,886b2c5,63c5883d,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,3.56978324249012,2.18490941309456,8.5491822,0.0002962,,10,,0.132972384281877,0.0874387954168523,NaN,<undefined>,NaN,<undefined>,NaN,NaN,NaN,NaN,,,
kim,0,avg,0.0001,0,12-Dec-2020 20:39:14,3786,946,6,886b2c5,8da3c483,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,3.56978324249012,2.18490941309456,8.5198418,0.0002782,,10,,0.132972384281877,0.0874387954168523,NaN,<undefined>,NaN,<undefined>,NaN,NaN,NaN,NaN,,,
kim,0,gpr,0.0001,0,12-Dec-2020 20:40:06,3786,946,6,886b2c5,82cb9e81,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,3.56978324249012,2.18490941309456,8.7663928,834.769251,,10,,0.093980524596134,0.06712453400596,1.21134528971487,SquaredExponential,NaN,fic,NaN,NaN,NaN,NaN,SigmaL,SigmaF,0.114906178560835,0.976475244045956
kim,0,idw,0.0001,0,12-Dec-2020 20:32:55,3786,946,6,886b2c5,33529f48,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,3.56978324249012,2.18490941309456,10.2207125,0.1148398,,10,,0.0907176432919987,0.0535922558488687,NaN,<undefined>,2,<undefined>,0.725158562367865,686,260,0.0440522730550304,,,
kim,0,idw,0.0001,0,12-Dec-2020 20:37:52,3786,946,6,886b2c5,d0ab7da2,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,3.56978324249012,2.18490941309456,8.765093,0.0708679,,10,,0.0907176432919987,0.0535922558488687,NaN,<undefined>,2,<undefined>,0.725158562367865,686,260,0.0440522730550304,,,
kim,0,idw,0.0001,0,12-Dec-2020 20:39:48,3786,946,6,886b2c5,401518b7,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,3.56978324249012,2.18490941309456,8.7131697,0.0612956,,10,,0.0907176432919987,0.0535922558488687,NaN,<undefined>,2,<undefined>,0.725158562367865,686,260,0.0440522730550304,,,
kim,0,nn,0.0001,0,12-Dec-2020 20:32:36,3786,946,6,886b2c5,e470b337,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,3.56978324249012,2.18490941309456,8.6411649,0.0325153,,10,,0.0951059531625807,0.0557464429175476,NaN,<undefined>,NaN,<undefined>,NaN,NaN,NaN,NaN,,,
kim,0,nn,0.0001,0,12-Dec-2020 20:37:17,3786,946,6,886b2c5,4f93dd9a,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,3.56978324249012,2.18490941309456,8.5848038,0.0351422,,10,,0.0951059531625807,0.0557464429175476,NaN,<undefined>,NaN,<undefined>,NaN,NaN,NaN,NaN,,,
kim,0,nn,0.0001,0,12-Dec-2020 20:39:31,3786,946,6,886b2c5,8202ec49,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,3.56978324249012,2.18490941309456,8.6142732,0.0339491,,10,,0.0951059531625807,0.0557464429175476,NaN,<undefined>,NaN,<undefined>,NaN,NaN,NaN,NaN,,,
